"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"wypadki ogółem;2024;[szt.]";
1403072;"Maciejowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
1403073;"Maciejowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
1403082;"Miastków Kościelny (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1403092;"Parysów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1403103;"Pilawa (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;10;
1403112;"Sobolew (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;8;
1403122;"Trojanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;7;
1403132;"Wilga (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;7;
1403143;"Żelechów (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1404000;"Powiat gostyniński";;;;;;;;;;;;;32;38;32;31;34;49;29;30;31;20;31;23;9;22;
1404011;"Gostynin (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;9;
1404022;"Gostynin (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;10;
1404043;"Sanniki (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1404052;"Szczawin Kościelny (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1405000;"Powiat grodziski";;;;;;;;;;;;;86;81;54;62;62;61;66;60;50;32;32;32;36;42;
1405011;"Milanówek (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1405021;"Podkowa Leśna (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
1405032;"Baranów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;8;
1405043;"Grodzisk Mazowiecki (3)";;;;;;;;;;;;;;;;;;;;;;;;;18;25;
1405052;"Jaktorów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;1;
1405062;"Żabia Wola (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1406000;"Powiat grójecki";;;;;;;;;;;;;132;122;129;119;118;140;110;128;132;105;97;95;104;119;
1406012;"Belsk Duży (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;6;
1406022;"Błędów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;10;
1406032;"Chynów (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;10;
1406042;"Goszczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
1406053;"Grójec (3)";;;;;;;;;;;;;;;;;;;;;;;;;41;33;
1406062;"Jasieniec (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
1406073;"Mogielnica (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;10;
1406083;"Nowe Miasto nad Pilicą (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;10;
1406092;"Pniewy (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;11;
1406113;"Warka (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;19;
1407000;"Powiat kozienicki";;;;;;;;;;;;;89;88;82;79;71;75;76;110;88;68;66;67;73;75;
1407012;"Garbatka-Letnisko (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;1;
1407022;"Głowaczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;;
1407023;"Głowaczów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;12;
1407032;"Gniewoszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
1407042;"Grabów nad Pilicą (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
1407053;"Kozienice (3)";;;;;;;;;;;;;;;;;;;;;;;;;32;34;
1407062;"Magnuszew (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;;
1407063;"Magnuszew (3)";;;;;;;;;;;;;;;;;;;;;;;;;;13;
1407072;"Sieciechów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
1408000;"Powiat legionowski";;;;;;;;;;;;;109;89;69;53;48;30;45;41;36;39;50;33;24;36;
1408011;"Legionowo (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
1408022;"Jabłonna (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
1408032;"Nieporęt (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;9;
1408043;"Serock (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;10;
1408052;"Wieliszew (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1409000;"Powiat lipski";;;;;;;;;;;;;26;40;34;29;13;36;40;45;52;38;40;45;34;30;
1409012;"Chotcza (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1409022;"Ciepielów (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;;
1409023;"Ciepielów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;7;
1409033;"Lipsko (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;8;
1409042;"Rzeczniów (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;7;
1409052;"Sienno (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
1409053;"Sienno (3)";;;;;;;;;;;;;;;;;;;;;;;;;;3;
1409063;"Solec nad Wisłą (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1410000;"Powiat łosicki";;;;;;;;;;;;;28;27;31;27;20;22;30;36;23;31;32;13;18;15;
1410012;"Huszlew (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1410023;"Łosice (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
1410032;"Olszanka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1410042;"Platerów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1410052;"Sarnaki (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;1;
1410062;"Stara Kornica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1411000;"Powiat makowski";;;;;;;;;;;;;62;45;37;38;45;54;53;42;46;40;37;37;36;34;
1411011;"Maków Mazowiecki (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1411022;"Czerwonka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1411032;"Karniewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
1411042;"Krasnosielc (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;7;
1411062;"Płoniawy-Bramura (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
1411073;"Różan (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1411082;"Rzewnie (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;1;
1411092;"Sypniewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1411102;"Szelków (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1412000;"Powiat miński";;;;;;;;;;;;;247;194;169;162;152;139;124;119;114;104;116;79;77;77;
1412011;"Mińsk Mazowiecki (1)";;;;;;;;;;;;;;;;;;;;;;;;;20;13;
1412043;"Cegłów (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1412052;"Dębe Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;3;
1412062;"Dobre (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
1412063;"Dobre (3)";;;;;;;;;;;;;;;;;;;;;;;;;;3;
1412073;"Halinów (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
1412082;"Jakubów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1412093;"Kałuszyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
1412103;"Latowicz (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1412112;"Mińsk Mazowiecki (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;8;
1412123;"Mrozy (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;7;
1412132;"Siennica (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
1412133;"Siennica (3)";;;;;;;;;;;;;;;;;;;;;;;;;;5;
1412142;"Stanisławów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
1412151;"Sulejówek (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;11;
1413000;"Powiat mławski";;;;;;;;;;;;;98;82;84;70;65;47;43;42;32;37;30;29;28;26;
1413011;"Mława (1)";;;;;;;;;;;;;;;;;;;;;;;;;12;8;
1413022;"Dzierzgowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1413032;"Lipowiec Kościelny (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1413042;"Radzanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1413052;"Strzegowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1413062;"Stupsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1413072;"Szreńsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1413082;"Szydłowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1413092;"Wieczfnia Kościelna (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1413102;"Wiśniewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1414000;"Powiat nowodworski";;;;;;;;;;;;;95;94;66;72;58;57;59;57;63;39;35;36;30;19;
1414011;"Nowy Dwór Mazowiecki (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1414022;"Czosnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1414032;"Leoncin (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1414043;"Nasielsk (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;2;
1414052;"Pomiechówek (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;1;
1414063;"Zakroczym (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1415000;"Powiat ostrołęcki";;;;;;;;;;;;;121;113;87;78;94;84;86;71;64;48;61;35;25;32;
1415022;"Czarnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1415032;"Czerwin (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1415042;"Goworowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1415052;"Kadzidło (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1415062;"Lelis (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1415072;"Łyse (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1415083;"Myszyniec (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
1415092;"Olszewo-Borki (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
1415102;"Rzekuń (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;3;
1415112;"Troszyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;6;
1416000;"Powiat ostrowski";;;;;;;;;;;;;97;90;66;73;54;88;58;53;49;46;49;46;49;46;
1416011;"Ostrów Mazowiecka (1)";;;;;;;;;;;;;;;;;;;;;;;;;16;12;
1416022;"Andrzejewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1416032;"Boguty-Pianki (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1416043;"Brok (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1416052;"Małkinia Górna (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;6;
1416062;"Nur (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1416072;"Ostrów Mazowiecka (2)";;;;;;;;;;;;;;;;;;;;;;;;;14;9;
1416082;"Stary Lubotyń (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1416092;"Szulborze Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1416102;"Wąsewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;6;
1416112;"Zaręby Kościelne (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1417000;"Powiat otwocki";;;;;;;;;;;;;169;163;137;154;130;124;72;63;91;69;63;29;33;33;
1417011;"Józefów (1)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1417021;"Otwock (1)";;;;;;;;;;;;;;;;;;;;;;;;;10;9;
1417032;"Celestynów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1417043;"Karczew (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1417052;"Kołbiel (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1417062;"Osieck (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;;
1417063;"Osieck (3)";;;;;;;;;;;;;;;;;;;;;;;;;;1;
1417072;"Sobienie-Jeziory (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1417082;"Wiązowna (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;7;
1418000;"Powiat piaseczyński";;;;;;;;;;;;;126;111;114;129;89;87;86;84;82;84;97;88;80;86;
1418013;"Góra Kalwaria (3)";;;;;;;;;;;;;;;;;;;;;;;;;15;13;
1418023;"Konstancin-Jeziorna (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;12;
1418032;"Lesznowola (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;11;
1418043;"Piaseczno (3)";;;;;;;;;;;;;;;;;;;;;;;;;36;37;
1418052;"Prażmów (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1418063;"Tarczyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
1419000;"Powiat płocki";;;;;;;;;;;;;177;176;169;165;144;146;116;106;111;93;74;94;84;89;
1419012;"Bielsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;4;
1419023;"Bodzanów (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;9;
1419032;"Brudzeń Duży (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1419042;"Bulkowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1419053;"Drobin (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;11;
1419063;"Gąbin (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;10;
1419072;"Łąck (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
1419082;"Mała Wieś (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1419092;"Nowy Duninów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1419102;"Radzanowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;16;
1419112;"Słubice (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;1;
1419132;"Stara Biała (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;7;
1419142;"Staroźreby (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
1419153;"Wyszogród (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1420000;"Powiat płoński";;;;;;;;;;;;;103;107;102;87;83;72;54;54;56;64;66;41;41;54;
1420011;"Płońsk (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1420021;"Raciąż (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1420032;"Baboszewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1420043;"Czerwińsk nad Wisłą (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1420052;"Dzierzążnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1420062;"Joniec (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1420072;"Naruszewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1420083;"Nowe Miasto (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
1420092;"Płońsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;14;
1420102;"Raciąż (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1420113;"Sochocin (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1420122;"Załuski (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1421000;"Powiat pruszkowski";;;;;;;;;;;;;111;107;110;69;113;67;69;76;56;61;40;60;57;52;
1421011;"Piastów (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;1;
1421021;"Pruszków (1)";;;;;;;;;;;;;;;;;;;;;;;;;27;14;
1421033;"Brwinów (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;8;
1421042;"Michałowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;11;
1421052;"Nadarzyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;6;
1421062;"Raszyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;12;
1422000;"Powiat przasnyski";;;;;;;;;;;;;93;73;58;70;79;65;51;56;46;42;42;33;39;47;
1422011;"Przasnysz (1)";;;;;;;;;;;;;;;;;;;;;;;;;9;7;
1422023;"Chorzele (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;9;
1422032;"Czernice Borowe (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1422042;"Jednorożec (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
1422052;"Krasne (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1422062;"Krzynowłoga Mała (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1422072;"Przasnysz (2)";;;;;;;;;;;;;;;;;;;;;;;;;12;17;
1423000;"Powiat przysuski";;;;;;;;;;;;;59;44;51;42;46;46;46;41;33;26;26;23;25;20;
1423012;"Borkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1423022;"Gielniów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
1423023;"Gielniów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;5;
1423032;"Klwów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1423042;"Odrzywół (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;;
1423043;"Odrzywół (3)";;;;;;;;;;;;;;;;;;;;;;;;;;4;
1423052;"Potworów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1423063;"Przysucha (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;1;
1423072;"Rusinów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1423082;"Wieniawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1424000;"Powiat pułtuski";;;;;;;;;;;;;41;40;35;38;38;54;49;51;43;41;42;36;48;42;
1424012;"Gzy (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1424022;"Obryte (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;1;
1424032;"Pokrzywnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;3;
1424043;"Pułtusk (3)";;;;;;;;;;;;;;;;;;;;;;;;;21;22;
1424052;"Świercze (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1424062;"Winnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;7;
1424072;"Zatory (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
1425000;"Powiat radomski";;;;;;;;;;;;;230;152;181;176;183;205;217;210;227;162;186;173;205;219;
1425011;"Pionki (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;23;
1425022;"Gózd (2)";;;;;;;;;;;;;;;;;;;;;;;;;26;15;
1425033;"Iłża (3)";;;;;;;;;;;;;;;;;;;;;;;;;18;13;
1425042;"Jastrzębia (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;8;
1425052;"Jedlińsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;21;29;
1425063;"Jedlnia-Letnisko (3)";;;;;;;;;;;;;;;;;;;;;;;;;15;21;
1425072;"Kowala (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;14;
1425082;"Pionki (2)";;;;;;;;;;;;;;;;;;;;;;;;;22;22;
1425092;"Przytyk (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;;
1425093;"Przytyk (3)";;;;;;;;;;;;;;;;;;;;;;;;;;8;
1425103;"Skaryszew (3)";;;;;;;;;;;;;;;;;;;;;;;;;18;21;
1425112;"Wierzbica (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;4;
1425122;"Wolanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;12;13;
1425132;"Zakrzew (2)";;;;;;;;;;;;;;;;;;;;;;;;;21;28;
1426000;"Powiat siedlecki";;;;;;;;;;;;;62;65;57;48;52;51;76;76;84;56;97;71;59;34;
1426012;"Domanice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1426022;"Korczew (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1426032;"Kotuń (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;3;
1426042;"Mokobody (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
1426053;"Mordy (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1426062;"Paprotnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1426072;"Przesmyki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1426082;"Siedlce (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;10;
1426092;"Skórzec (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
1426102;"Suchożebry (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1426112;"Wiśniew (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;1;
1426122;"Wodynie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1426132;"Zbuczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;2;
1427000;"Powiat sierpecki";;;;;;;;;;;;;87;109;101;89;59;84;78;71;63;71;49;54;53;38;
1427011;"Sierpc (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;9;
1427022;"Gozdowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;3;
1427032;"Mochowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;5;
1427042;"Rościszewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1427052;"Sierpc (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;8;
1427062;"Szczutowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;6;
1427072;"Zawidz (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;5;
1428000;"Powiat sochaczewski";;;;;;;;;;;;;99;71;79;75;74;69;70;60;80;55;81;84;64;68;
1428011;"Sochaczew (1)";;;;;;;;;;;;;;;;;;;;;;;;;19;16;
1428022;"Brochów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1428032;"Iłów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
1428042;"Młodzieszyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;13;
1428052;"Nowa Sucha (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1428062;"Rybno (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1428072;"Sochaczew (2)";;;;;;;;;;;;;;;;;;;;;;;;;14;11;
1428082;"Teresin (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;12;
1429000;"Powiat sokołowski";;;;;;;;;;;;;49;48;39;38;42;46;37;46;43;35;38;28;42;30;
1429011;"Sokołów Podlaski (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;15;
1429022;"Bielany (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1429032;"Ceranów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
1429042;"Jabłonna Lacka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1429053;"Kosów Lacki (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;3;
1429062;"Repki (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1429072;"Sabnie (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1429082;"Sokołów Podlaski (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
1429092;"Sterdyń (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1430000;"Powiat szydłowiecki";;;;;;;;;;;;;36;29;22;25;33;34;38;19;23;21;15;19;25;16;
1430012;"Chlewiska (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1430023;"Jastrząb (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1430032;"Mirów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1430042;"Orońsko (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;1;
1430053;"Szydłowiec (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;10;
1432000;"Powiat warszawski zachodni";;;;;;;;;;;;;115;94;78;79;47;78;60;62;63;48;48;33;48;36;
1432013;"Błonie (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;10;
1432022;"Izabelin (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1432032;"Kampinos (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1432042;"Leszno (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1432053;"Łomianki (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;5;
1432063;"Ożarów Mazowiecki (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;12;
1432072;"Stare Babice (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;6;
1433000;"Powiat węgrowski";;;;;;;;;;;;;82;58;55;58;62;47;41;39;35;29;40;40;24;32;
1433011;"Węgrów (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1433022;"Grębków (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1433032;"Korytnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1433042;"Liw (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1433053;"Łochów (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;9;
1433062;"Miedzna (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1433072;"Sadowne (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
1433082;"Stoczek (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1433092;"Wierzbno (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1434000;"Powiat wołomiński";;;;;;;;;;;;;166;132;123;140;134;122;124;99;87;69;67;55;63;73;
1434011;"Kobyłka (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
1434021;"Marki (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;7;
1434031;"Ząbki (1)";;;;;;;;;;;;;;;;;;;;;;;;;12;3;
1434041;"Zielonka (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;8;
1434052;"Dąbrówka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1434063;"Jadów (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;6;
1434072;"Klembów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1434082;"Poświętne (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
